MONTH,SERVICE_CATEGORY,CLAIM_SPECIALTY,PAYER,PAID_AMOUNT
201801,AncillaryFFS,,Payer F,4281
201801,AncillaryFFS,,Payer H,2221
201801,AncillaryFFS,,Payer O,3937
201801,AncillaryFFS,,Payer W,268
201801,AncillaryFFS,ACH,Payer W,151
201801,AncillaryFFS,Advanced Registered Nurse Prac,Payer UN,0
201801,AncillaryFFS,ADVANCED RN PRACT,Payer CA,443
201801,AncillaryFFS,AMBULANCE,Payer CA,14890
201801,AncillaryFFS,AMBULANCE,Payer CO,1722
201801,AncillaryFFS,AMBULANCE,Payer F,36108
201801,AncillaryFFS,AMBULANCE,Payer H,7206
201801,AncillaryFFS,AMBULANCE,Payer O,6000
201801,AncillaryFFS,Ambulance,Payer S,1024
201801,AncillaryFFS,AMBULANCE,Payer W,2143
201801,AncillaryFFS,AMBULANCE SERVICE,Payer B,406
201801,AncillaryFFS,AMBULATORY SURGICAL CENTER,Payer W,2212
201801,AncillaryFFS,Ambulatory Transportation Services,Payer UN,1623
201801,AncillaryFFS,ANATOM,Payer W,73
201801,AncillaryFFS,ANESTHESIOLOGY,Payer F,538
201801,AncillaryFFS,ARNP,Payer CA,835
201801,AncillaryFFS,BEHAVIORAL HEALTH COUNSELING,Payer W,64
201801,AncillaryFFS,CARD ELECTROPHYSIOLO,Payer CA,45
201801,AncillaryFFS,CARDIAC ELECTROPHYSIOLOGY,Payer W,255
201801,AncillaryFFS,CARDIOLOGY,Payer CA,197
201801,AncillaryFFS,CARDIOLOGY,Payer F,3212
201801,AncillaryFFS,CARDIOLOGY,Payer O,1069
201801,AncillaryFFS,Cardiology,Payer UN,-250
201801,AncillaryFFS,CARDIOLOGY,Payer W,375
201801,AncillaryFFS,Cardiology/Cardiovascular Disease,Payer B,0
201801,AncillaryFFS,Cardiovascular Medicine,Payer S,36
201801,AncillaryFFS,CARDIOVASCULAR SURGERY,Payer CA,757
201801,AncillaryFFS,CCS,Payer CO,205
201801,AncillaryFFS,Chiropractic Medicine,Payer UN,0
201801,AncillaryFFS,Clinical Medical Laboratory	,Payer S,678
201801,AncillaryFFS,Colon and Rectal Surgery,Payer B,0
201801,AncillaryFFS,COMMUNITY MENTAL HEALTH CENTER,Payer W,77
201801,AncillaryFFS,COMMUNITY MENTAL HEALTH CENTER/OTHER REHAB CENTER,Payer F,1876
201801,AncillaryFFS,CONV CARE CLINIC,Payer W,49
201801,AncillaryFFS,COVERING PHYSICIAN,Payer CA,0
201801,AncillaryFFS,CRITICAL ACCESS,Payer W,1053
201801,AncillaryFFS,CSW,Payer W,57
201801,AncillaryFFS,DEFAULT,Payer F,915
201801,AncillaryFFS,DEFAULT,Payer O,2400
201801,AncillaryFFS,Dermatology,Payer B,0
201801,AncillaryFFS,DERMATOLOGY,Payer CA,153
201801,AncillaryFFS,DERMATOLOGY,Payer CO,100
201801,AncillaryFFS,Dermatology,Payer UN,-154
201801,AncillaryFFS,DERMATOLOGY,Payer W,220
201801,AncillaryFFS,DERMATOPATHOLOGY,Payer F,342
201801,AncillaryFFS,Dermatopathology,Payer UN,0
